filepath,caption
/content/drive/MyDrive/project/SSG/data/frames/136V6.mp4/001010.jpg,"A middle-aged male person with dark skin, black hair and multiple clothing. A brown broom is being held in the hand. The person is holding the broom using the hand in the bedroom."
/content/drive/MyDrive/project/SSG/data/frames/CM5SK.mp4/000016.jpg,"A middle-aged male person with medium skin, bald hair and beige clothing. A white refrigerator is closed. The person is holding the refrigerator using the hand in the kitchen."
/content/drive/MyDrive/project/SSG/data/frames/34J80.mp4/000168.jpg,"A middle-aged male person with medium skin, black hair and multiple clothing. A food is being held in the hand. The person is holding the food using the hand in the livingroom. A multiple velvet chair is located in the livingroom. A white ceramic or melamine cup or glass or bottle is being held in the hand. The person is holding the cup using the hand in the livingroom."
/content/drive/MyDrive/project/SSG/data/frames/CMD0M.mp4/000768.jpg,"A elderly male person with fair skin, ash hair and ash clothing. A transparent glass cup or glass or bottle is being held in the hand. The person is holding the glass using the hand in the basement."
/content/drive/MyDrive/project/SSG/data/frames/1E7VU.mp4/000845.jpg,A young male person with fair skin and multiple clothing. A multiple phone or camera is being held in the hand. The person is holding the phone using the hand in the kitchen.
/content/drive/MyDrive/project/SSG/data/frames/0PKMF.mp4/000133.jpg,A person. A black television is on. There is a chair.
/content/drive/MyDrive/project/SSG/data/frames/0YTSJ.mp4/000700.jpg,"A middle-aged male person with dark skin, black hair and white clothing. A silver steel dish is located in the table. A brown wood table is present. A white plastic chair is present. A silver steel cup or glass or bottle is placed."
/content/drive/MyDrive/project/SSG/data/frames/AR4S6.mp4/000712.jpg,"A young male person with fair skin, black hair and ash clothing. A brown wood door is opened."
/content/drive/MyDrive/project/SSG/data/frames/0RNRI.mp4/000477.jpg,"A middle-aged female person with dark skin, black hair and multiple clothing. A beige textile clothes is located in the shelf. A beige towel is being held in the hand. There is a dish. A white ceramic or melamine cup or glass or bottle is placed."
/content/drive/MyDrive/project/SSG/data/frames/0O81T.mp4/000835.jpg,"A young female person with fair skin, brown hair and green clothing. A white ceramic or melamine dish is being held in the hand. A white ceramic or melamine cup or glass or bottle is being held in the hand."
/content/drive/MyDrive/project/SSG/data/frames/91SQ4.mp4/000519.jpg,"A middle-aged male person with fair skin, bald hair and black clothing. A multiple multiple clothes is located in the box. A brown wood door is opened."
/content/drive/MyDrive/project/SSG/data/frames/1VF27.mp4/000239.jpg,"A middle-aged male person with medium skin, black hair and black clothing. A white book is located in the table. A food is located in the table. A white paper or notebook is located in the table. A multiple glass wood table is located in the livingroom. A brown wood chair is located in the livingroom."
/content/drive/MyDrive/project/SSG/data/frames/1FIGA.mp4/000382.jpg,"A middle-aged male person with dark skin, black hair and blue clothing. There is a book. A ash metal shelf is located in the cabinet. A multiple plastic box is being held in the hand. The person is holding the box using the hand in the home office or study room. A ash metal closet or cabinet is opened. The person is holding the cabinet using the hand in the home office or study room. A ash metal door is opened."
/content/drive/MyDrive/project/SSG/data/frames/1SMZZ.mp4/000220.jpg,"A young female person with medium skin, black hair and blue clothing. A multiple pillow is being held in the hand. The person is holding the pillow using the hand in the home office or study room."
/content/drive/MyDrive/project/SSG/data/frames/0J471.mp4/000252.jpg,"A child female person with fair skin, brown hair and pink clothing. A brown wood floor is located in the hallway."
/content/drive/MyDrive/project/SSG/data/frames/0UFGC.mp4/000195.jpg,"A young male person with fair skin, black hair and blue clothing. A transparent window is opened. A white wood door is opened. A metal doorknob is located in the door."
/content/drive/MyDrive/project/SSG/data/frames/3SDJE.mp4/000536.jpg,"A young male person with dark skin, black hair and blue clothing. A white book is placed. The person is holding the book using the hand in the kitchen. A brown wood closet or cabinet is opened. The person is holding the cabinet using the hand in the kitchen. A brown wood shelf is being held in the hand."
/content/drive/MyDrive/project/SSG/data/frames/07TCM.mp4/000977.jpg,"A young female person with fair skin, brown hair and black clothing. A ash wood sofa or couch is located in the livingroom. There is a blanket."
/content/drive/MyDrive/project/SSG/data/frames/8JR94.mp4/000380.jpg,"A young male person with fair skin, brown hair and black clothing. A food is being held in the hand. A ash cement floor is located in the laundryroom. A sandwich is being held in the hand."
/content/drive/MyDrive/project/SSG/data/frames/0M1ZU.mp4/000221.jpg,"A young female person with dark skin, black hair and pink clothing. There is a book. A purple blanket is being held in the hand. The person is holding the blanket using the hand in the bedroom."
/content/drive/MyDrive/project/SSG/data/frames/4FTT5.mp4/001177.jpg,"A middle-aged male person with dark skin, black hair and blue clothing. A silver laptop is being held in the hand. The person is holding the laptop using the hand in the stairs. A black phone or camera is being held in the hand. The person is holding the phone using the hand in the stairs."
/content/drive/MyDrive/project/SSG/data/frames/0OE6M.mp4/000226.jpg,"A child male person with fair skin, brown hair and black clothing. A blue towel is being held in the hand. The person is holding the towel using the hand in the laundryroom. A blue cotton clothes is located in the laundryroom. The person is holding the clothes using the hand in the laundryroom."
